product_id,product_hs92_code,year,export_value,import_value,pci
1165,4408,1995,2193393178,2193393178,-1.137
1166,4409,1995,2059839407,2059839407,-0.801
1167,4410,1995,3356032721,3356032721,0.267
1168,4411,1995,2087933694,2087933694,-0.004
1169,4412,1995,8490488652,8490488652,-1.352
1170,4413,1995,390771425,390771425,-0.967
1171,4414,1995,458782988,458782988,-1.224
1172,4415,1995,986510974,986510974,-0.018
1173,4416,1995,147798691,147798691,0.051
1174,4417,1995,159162025,159162025,-0.619
1175,4418,1995,5329257617,5329257617,-0.21
1176,4419,1995,478513984,478513984,-0.828
1177,4420,1995,797260298,797260298,-1.791
1178,4421,1995,1998713043,1998713043,-0.635
1179,4501,1995,93500152,93500152,-1.353
1180,4502,1995,21289786,21289786,-1.049
1181,4503,1995,464927781,464927781,-0.596
1182,4504,1995,424095083,424095083,-0.097
1183,4601,1995,296095308,296095308,-1.696
1184,4602,1995,988470777,988470777,-1.908
1185,4701,1995,668588899,668588899,0.777
1186,4702,1995,1363333123,1363333123,0.166
1187,4703,1995,18687922319,18687922319,-0.015
1188,4704,1995,1649191354,1649191354,0.411
1189,4705,1995,964497092,964497092,0.692
1190,4706,1995,387304989,387304989,-0.388
1191,4707,1995,3372607056,3372607056,-0.268
1192,4801,1995,10746288819,10746288819,0.321
1193,4802,1995,12877088747,12877088747,0.878
1194,4803,1995,1243628002,1243628002,-0.043
1195,4804,1995,8077285763,8077285763,0.355
1196,4805,1995,5227498546,5227498546,0.435
1197,4806,1995,631620558,631620558,1.439
1198,4807,1995,688395736,688395736,0.167
1199,4808,1995,817980632,817980632,0.277
1200,4809,1995,1244479656,1244479656,0.74
1201,4810,1995,19066103605,19066103605,1.69
1202,4811,1995,7079485409,7079485409,1.375
1203,4812,1995,89039275,89039275,1.085
1204,4813,1995,812369009,812369009,1.053
1205,4814,1995,1150921706,1150921706,0.63
1206,4815,1995,8256999,8256999,0.699
1207,4816,1995,671118745,671118745,0.607
1208,4817,1995,555774834,555774834,0.252
1209,4818,1995,6606561983,6606561983,0.289
1210,4819,1995,7207419194,7207419194,-0.172
1211,4820,1995,2014198855,2014198855,-0.614
1212,4821,1995,1541319197,1541319197,0.5
1213,4822,1995,224617260,224617260,0.991
1214,4823,1995,5596721051,5596721051,0.393
1215,4901,1995,9072406362,9072406362,0.519
1216,4902,1995,4588688153,4588688153,0.657
1217,4903,1995,317387351,317387351,0.068
1218,4904,1995,99044025,99044025,2.173
1219,4905,1995,151582754,151582754,0.997
1220,4906,1995,319869475,319869475,1.081
1221,4907,1995,687354138,687354138,-1.008
1222,4908,1995,501787364,501787364,1.403
1223,4909,1995,533025118,533025118,-0.116
1224,4910,1995,287041190,287041190,0.037
1225,4911,1995,5317080864,5317080864,1.419
1226,5001,1995,35379728,35379728,-1.31
1227,5002,1995,454356665,454356665,-0.932
1228,5003,1995,82050499,82050499,-1.122
1229,5004,1995,222988409,222988409,-0.411
1230,5005,1995,170621804,170621804,0.234
1231,5006,1995,10291738,10291738,0.354
1232,5007,1995,2166671161,2166671161,-0.769
1233,5101,1995,3850286942,3850286942,-1.198
1234,5102,1995,396056117,396056117,-1.02
1235,5103,1995,147544651,147544651,-0.555
1236,5104,1995,5224060,5224060,-0.373
1237,5105,1995,2346419459,2346419459,-0.189
1238,5106,1995,785094878,785094878,-0.08
1239,5107,1995,1440774470,1440774470,0.082
1240,5108,1995,208939347,208939347,-0.039
1241,5109,1995,168802774,168802774,-0.243
1242,5110,1995,6865675,6865675,0.114
1243,5111,1995,1914726269,1914726269,0.102
1244,5112,1995,3180310799,3180310799,0.267
1245,5113,1995,14859738,14859738,0.412
1246,5201,1995,9246994245,9246994245,-2.124
1247,5202,1995,385224765,385224765,-1.351
1248,5203,1995,162934345,162934345,-1.59
1249,5204,1995,216214505,216214505,-0.751
1250,5205,1995,6438559973,6438559973,-1.384
1251,5206,1995,545828160,545828160,-0.832
1252,5207,1995,300267838,300267838,-1.107
1253,5208,1995,9560162269,9560162269,-1.266
1254,5209,1995,6958202200,6958202200,-1.074
1255,5210,1995,1820065353,1820065353,-0.788
1256,5211,1995,1131482848,1131482848,-0.316
1257,5212,1995,624235615,624235615,-0.998
1258,5301,1995,395560118,395560118,0.105
1259,5302,1995,8652190,8652190,0.002
1260,5303,1995,110526917,110526917,-2.468
1261,5304,1995,65070169,65070169,-1.54
1262,5305,1995,93255350,93255350,-1.831
1263,5306,1995,288277058,288277058,0.071
1264,5307,1995,124607026,124607026,-1.743
1265,5308,1995,250136787,250136787,-1.824
1266,5309,1995,1145230458,1145230458,0.545
1267,5310,1995,195574993,195574993,-1.242
1268,5311,1995,227317546,227317546,-1.221
1269,5401,1995,697100940,697100940,0.173
1270,5402,1995,11451349561,11451349561,0.354
1271,5403,1995,2018687213,2018687213,-0.051
1272,5404,1995,621881305,621881305,0.584
1273,5405,1995,26792494,26792494,-0.333
1274,5406,1995,83528470,83528470,-0.765
1275,5407,1995,15344803033,15344803033,-0.366
1276,5408,1995,3338923029,3338923029,-0.147
1277,5501,1995,895926620,895926620,0.096
1278,5502,1995,1354419131,1354419131,0.683
